#CHAR,NAME,CODE
 ,space,040
✁,a1,041
✂,a2,042
✃,a202,043
✄,a3,044
☎,a4,045
✆,a5,046
✇,a119,047
✈,a118,050
✉,a117,051
☛,a11,052
☞,a12,053
✌,a13,054
✍,a14,055
✎,a15,056
✏,a16,057
✐,a105,060
✑,a17,061
✒,a18,062
✓,a19,063
✔,a20,064
✕,a21,065
✖,a22,066
✗,a23,067
✘,a24,070
✙,a25,071
✚,a26,072
✛,a27,073
✜,a28,074
✝,a6,075
✞,a7,076
✟,a8,077
✠,a9,100
✡,a10,101
✢,a29,102
✣,a30,103
✤,a31,104
✥,a32,105
✦,a33,106
✧,a34,107
★,a35,110
✩,a36,111
✪,a37,112
✫,a38,113
✬,a39,114
✭,a40,115
✮,a41,116
✯,a42,117
✰,a43,120
✱,a44,121
✲,a45,122
✳,a46,123
✴,a47,124
✵,a48,125
✶,a49,126
✷,a50,127
✸,a51,130
✹,a52,131
✺,a53,132
✻,a54,133
✼,a55,134
✽,a56,135
✾,a57,136
✿,a58,137
❀,a59,140
❁,a60,141
❂,a61,142
❃,a62,143
❄,a63,144
❅,a64,145
❆,a65,146
❇,a66,147
❈,a67,150
❉,a68,151
❊,a69,152
❋,a70,153
●,a71,154
❍,a72,155
■,a73,156
❏,a74,157
❐,a203,160
❑,a75,161
❒,a204,162
▲,a76,163
▼,a77,164
◆,a78,165
❖,a79,166
◗,a81,167
❘,a82,170
❙,a83,171
❚,a84,172
❛,a97,173
❜,a98,174
❝,a99,175
❞,a100,176
❡,a101,241
❢,a102,242
❣,a103,243
❤,a104,244
❥,a106,245
❦,a107,246
❧,a108,247
♣,a112,250
♦,a111,251
♥,a110,252
♠,a109,253
①,a120,254
②,a121,255
③,a122,256
④,a123,257
⑤,a124,260
⑥,a125,261
⑦,a126,262
⑧,a127,263
⑨,a128,264
⑩,a129,265
❶,a130,266
❷,a131,267
❸,a132,270
❹,a133,271
❺,a134,272
❻,a135,273
❼,a136,274
❽,a137,275
❾,a138,276
❿,a139,277
➀,a140,300
➁,a141,301
➂,a142,302
➃,a143,303
➄,a144,304
➅,a145,305
➆,a146,306
➇,a147,307
➈,a148,310
➉,a149,311
➊,a150,312
➋,a151,313
➌,a152,314
➍,a153,315
➎,a154,316
➏,a155,317
➐,a156,320
➑,a157,321
➒,a158,322
➓,a159,323
➔,a160,324
→,a161,325
↔,a163,326
↕,a164,327
➘,a196,330
➙,a165,331
➚,a192,332
➛,a166,333
➜,a167,334
➝,a168,335
➞,a169,336
➟,a170,337
➠,a171,340
➡,a172,341
➢,a173,342
➣,a162,343
➤,a174,344
➥,a175,345
➦,a176,346
➧,a177,347
➨,a178,350
➩,a179,351
➪,a193,352
➫,a180,353
➬,a199,354
➭,a181,355
➮,a200,356
➯,a182,357
➱,a201,361
➲,a183,362
➳,a184,363
➴,a197,364
➵,a185,365
➶,a194,366
➷,a198,367
➸,a186,370
➹,a195,371
➺,a187,372
➻,a188,373
➼,a189,374
➽,a190,375
➾,a191,376
